BookID,Title,Author,Downloads
0,None,None,0
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas",449
10,The King James Version of the Bible,None,3103
100,The Complete Works of William Shakespeare,"Shakespeare, William",3605
1000,La Divina Commedia di Dante,Dante Alighieri,425
10000,The Magna Carta,Anonymous,208
10001,Apocolocyntosis,"Rouse, W. H. D. (William Henry Denham)",201
10002,The House on the Borderland,"Hodgson, William Hope",373
10003,"My First Years as a Frenchwoman, 1876-1879","Waddington, Mary King",24
10004,The Warriors,"Lindsay, Anna Robertson Brown",6
10005,"A Voyage to the Moon
With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",9
10006,La Fiammetta,"Brogan, James C.",29
10007,Carmilla,"Le Fanu, Joseph Sheridan",860
10008,The Mystery,"Adams, Samuel Hopkins",32
10009,"Wild Northern Scenes
Or, Sporting Adventures with the Rifle and the Rod","Hammond, S. H. (Samuel H.)",6
1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,308
10010,"The Eulogies of Howard
A Vision","Hayley, William",1
10011,"365 Foreign Dishes
A Foreign Dish for Every Day in the Year",Unknown,343
10012,The Mountains of California,"Muir, John",104
10013,"Punchinello, Volume 1, No. 09, May 28, 1870",Various,7
10014,"Punchinello, Volume 1, No. 18, July 30, 1870",Various,4
10015,"Punchinello, Volume 1, No. 19, August 6, 1870",Various,5
10016,"Punchinello, Volume 1, No. 21, August 20, 1870",Various,5
10017,"Punchinello, Volume 1, No. 23,  September 3, 1870",Various,4
10018,"Punchinello, Volume 1, No. 05,  April 30, 1870",Various,6
10019,"Punchinello, Volume 1, No. 22, August 27, 1870",Various,7
1002,"Divine Comedy, Longfellow's Translation, Purgatory","Longfellow, Henry Wadsworth",18
10020,"The Strand Magazine: Volume VII, Issue 37. January, 1894.
An Illustrated Monthly",Various,70
10021,Tenterhooks,"Leverson, Ada",13
10022,White Queen of the Cannibals: the Story of Mary Slessor of Calabar,"Bueltmann, A. J.",13
10023,There's Pippins and Cheese to Come,"Brooks, Charles S. (Charles Stephen)",10
10024,"Beneath the Banner
Being Narratives of Noble Lives and Brave Deeds","Cross, F. J. (Frederick J.)",45
10025,Gaslight Sonatas,"Hurst, Fannie",6
10026,"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 268, August 11, 1827",Various,3
10027,"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",11
10028,Spalding's Official Baseball Guide - 1913,"Foster, John B. (John Buckingham)",13
10029,The Hunt Ball Mystery,"Magnay, William, Sir",14
1003,"Divine Comedy, Longfellow's Translation, Paradise","Longfellow, Henry Wadsworth",11
10030,"The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide
An Autobiography",Buffalo Bill,26
10031,"The Complete Poetical Works of Edgar Allan Poe
Including Essays on Poetry","Ingram, John Henry",481
10032,"Punchinello, Volume 1, No. 24, September 10, 1870",Various,8
10033,"Punchinello, Volume 1, No. 25, September 17, 1870",Various,6
10034,"Punchinello, Volume 1, No. 26, September 24, 1870",Various,2
10035,"Punchinello, Volume 2, No. 27, October 1, 1870",Various,3
10036,"Punchinello, Volume 2, No. 28, October 8, 1870",Various,2
10037,A Beautiful Possibility,"Black, Edith Ferguson",7
10038,The Magnetic North,"Robins, Elizabeth",11
10039,"The Works of Aphra Behn, Volume III","Summers, Montague",47
1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,254
10040,"Aleutian Indian and English Dictionary
Common Words in the Dialects of the Aleutian Indian Language as Spoken by the Oogashik, Egashik, Anangashuk and Misremie Tribes Around Sulima River and Neighboring Parts of the Alaska Peninsula","Lee, Charles A.",39
10041,The Rivet in Grandfather's Neck: A Comedy of Limitations,"Cabell, James Branch",9
10042,The Child under Eight,"Murray, E. R. (Elsie Riach)",15
10043,"Klondyke Nuggets
A Brief Description of the Great Gold Regions in the Northwest","Ladue, Joseph",7
10044,The Father of British Canada: a Chronicle of Carleton,"Wood, William Charles Henry",7
10045,"Dave Darrin's Second Year at Annapolis
Or, Two Midshipmen as Naval Academy ""Youngsters""","Hancock, H. Irving (Harrie Irving)",9
10046,Salute to Adventurers,"Buchan, John",49
10047,"Punchinello, Volume 2, No. 29, October 15, 1870",Various,4
10048,"Billie Bradley and Her Inheritance
Or, The Queer Homestead at Cherry Corners","Wheeler, Janet D.",31
10049,"Old Lady Mary
A Story of the Seen and the Unseen","Oliphant, Mrs. (Margaret)",7
1005,"Divine Comedy, Cary's Translation, Hell","Cary, Henry Francis",13
10050,A Little Pilgrim: Stories of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",9
10051,"The Little Pilgrim: Further Experiences.
Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",7
10052,"The Open Door, and the Portrait.
Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",42
10053,La vampire,"Féval, Paul",41
10054,Nova analysis aquarum Medeviensium,"Berzelius, Jöns Jakob, friherre",7
10055,Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",39
10056,"Chinese Literature
Comprising the Analects of Confucius, the Sayings of Mencius, the Shi-King, the Travels of Fâ-Hien, and the Sorrows of Han","Legge, James",122
10057,The Secret of the Tower,"Hope, Anthony",5
10058,"The Divine Office
A Study of the Roman Breviary","Quigley, Edward J.",63
10059,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",15
1006,"Divine Comedy, Cary's Translation, Purgatory","Cary, Henry Francis",8
10060,"Discourses: Biological & Geological
Essays","Huxley, Thomas Henry",11
10061,Les Heures Claires,"Verhaeren, Emile",22
10062,"The Iron Game
A Tale of the War","Keenan, Henry F. (Henry Francis)",8
10063,Happiness and Marriage,"Towne, Elizabeth",9
10064,Beltane the Smith,"Farnol, Jeffery",42
10065,"The Constitution of the United States
A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution","Beck, James M. (James Montgomery)",55
10066,Gunman's Reckoning,"Brand, Max",92
10067,The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",85
10068,The Power and the Glory,"Keller, Arthur Ignatius",17
10069,"Account of the Romansh Language
In a Letter to Sir John Pringle, Bart. P. R. S.","Planta, Joseph",19
1007,"Divine Comedy, Cary's Translation, Paradise","Cary, Henry Francis",14
10070,Stories of Great Americans for Little Americans,"Eggleston, Edward",120
10071,By-Ways of Bombay,"Edwardes, S. M. (Stephen Meredyth)",17
10072,"English Housewifery
Exemplified in above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery","Moxon, Elizabeth",73
10073,The Century Vocabulary Builder,"Bachelor, Joseph M. (Joseph Morris)",52
